lat,lon,region,vs30,vs30measured,xvf,z1pt0,z2pt5
38.6,-9.71787,5,800,TRUE,150,31.07,0.57
38.7,-9.71787,5,800,TRUE,150,31.07,0.57
38.8,-9.71787,5,800,TRUE,150,31.07,0.57
38.9,-9.71787,5,800,TRUE,150,31.07,0.57
39,-9.71787,5,800,TRUE,150,31.07,0.57
38.5,-9.61787,5,800,TRUE,150,31.07,0.57
38.6,-9.61787,5,800,TRUE,150,31.07,0.57
38.7,-9.61787,5,800,TRUE,150,31.07,0.57
38.8,-9.61787,5,800,TRUE,150,31.07,0.57
38.9,-9.61787,5,800,TRUE,150,31.07,0.57
39,-9.61787,5,800,TRUE,150,31.07,0.57
39.1,-9.61787,5,800,TRUE,150,31.07,0.57
39.2,-9.61787,5,800,TRUE,150,31.07,0.57
39.3,-9.61787,5,800,TRUE,150,31.07,0.57
39.4,-9.61787,5,800,TRUE,150,31.07,0.57
39.5,-9.61787,5,800,TRUE,150,31.07,0.57
38.5,-9.51787,5,800,TRUE,150,31.07,0.57
38.6,-9.51787,5,800,TRUE,150,31.07,0.57
38.7,-9.51787,5,800,TRUE,150,31.07,0.57
38.8,-9.51787,5,800,TRUE,150,31.07,0.57
38.9,-9.51787,5,800,TRUE,150,31.07,0.57
39,-9.51787,5,800,TRUE,150,31.07,0.57
39.1,-9.51787,5,800,TRUE,150,31.07,0.57
39.2,-9.51787,5,800,TRUE,150,31.07,0.57
39.3,-9.51787,5,800,TRUE,150,31.07,0.57
39.4,-9.51787,5,800,TRUE,150,31.07,0.57
39.5,-9.51787,5,800,TRUE,150,31.07,0.57
39.6,-9.51787,5,800,TRUE,150,31.07,0.57
38.2,-9.41787,5,800,TRUE,150,31.07,0.57
38.3,-9.41787,5,800,TRUE,150,31.07,0.57
38.4,-9.41787,5,800,TRUE,150,31.07,0.57
38.5,-9.41787,5,800,TRUE,150,31.07,0.57
38.6,-9.41787,5,800,TRUE,150,31.07,0.57
38.7,-9.41787,5,800,TRUE,150,31.07,0.57
38.8,-9.41787,5,800,TRUE,150,31.07,0.57
38.9,-9.41787,5,800,TRUE,150,31.07,0.57
39,-9.41787,5,800,TRUE,150,31.07,0.57
39.1,-9.41787,5,800,TRUE,150,31.07,0.57
39.2,-9.41787,5,800,TRUE,150,31.07,0.57
39.3,-9.41787,5,800,TRUE,150,31.07,0.57
39.4,-9.41787,5,800,TRUE,150,31.07,0.57
39.5,-9.41787,5,800,TRUE,150,31.07,0.57
39.6,-9.41787,5,800,TRUE,150,31.07,0.57
38.2,-9.31787,5,800,TRUE,150,31.07,0.57
38.3,-9.31787,5,800,TRUE,150,31.07,0.57
38.4,-9.31787,5,800,TRUE,150,31.07,0.57
38.5,-9.31787,5,800,TRUE,150,31.07,0.57
38.6,-9.31787,5,800,TRUE,150,31.07,0.57
38.7,-9.31787,5,800,TRUE,150,31.07,0.57
38.8,-9.31787,5,800,TRUE,150,31.07,0.57
38.9,-9.31787,5,800,TRUE,150,31.07,0.57
39,-9.31787,5,800,TRUE,150,31.07,0.57
39.1,-9.31787,5,800,TRUE,150,31.07,0.57
39.2,-9.31787,5,800,TRUE,150,31.07,0.57
39.3,-9.31787,5,800,TRUE,150,31.07,0.57
39.4,-9.31787,5,800,TRUE,150,31.07,0.57
39.5,-9.31787,5,800,TRUE,150,31.07,0.57
39.6,-9.31787,5,800,TRUE,150,31.07,0.57
39.7,-9.31787,5,800,TRUE,150,31.07,0.57
39.8,-9.31787,5,800,TRUE,150,31.07,0.57
36.9,-9.21787,0,800,TRUE,150,31.07,0.57
37,-9.21787,0,800,TRUE,150,31.07,0.57
37.1,-9.21787,5,800,TRUE,150,31.07,0.57
37.2,-9.21787,5,800,TRUE,150,31.07,0.57
38.2,-9.21787,5,800,TRUE,150,31.07,0.57
38.3,-9.21787,5,800,TRUE,150,31.07,0.57
38.4,-9.21787,5,800,TRUE,150,31.07,0.57
38.5,-9.21787,5,800,TRUE,150,31.07,0.57
38.6,-9.21787,5,800,TRUE,150,31.07,0.57
38.7,-9.21787,5,800,TRUE,150,31.07,0.57
38.8,-9.21787,5,800,TRUE,150,31.07,0.57
38.9,-9.21787,5,800,TRUE,150,31.07,0.57
39,-9.21787,5,800,TRUE,150,31.07,0.57
39.1,-9.21787,5,800,TRUE,150,31.07,0.57
39.2,-9.21787,5,800,TRUE,150,31.07,0.57
39.3,-9.21787,5,800,TRUE,150,31.07,0.57
39.4,-9.21787,5,800,TRUE,150,31.07,0.57
39.5,-9.21787,5,800,TRUE,150,31.07,0.57
39.6,-9.21787,5,800,TRUE,150,31.07,0.57
39.7,-9.21787,5,800,TRUE,150,31.07,0.57
39.8,-9.21787,5,800,TRUE,150,31.07,0.57
39.9,-9.21787,5,800,TRUE,150,31.07,0.57
40,-9.21787,5,800,TRUE,150,31.07,0.57
36.9,-9.11787,0,800,TRUE,150,31.07,0.57
37,-9.11787,5,800,TRUE,150,31.07,0.57
37.1,-9.11787,5,800,TRUE,150,31.07,0.57
37.2,-9.11787,5,800,TRUE,150,31.07,0.57
37.3,-9.11787,5,800,TRUE,150,31.07,0.57
37.4,-9.11787,5,800,TRUE,150,31.07,0.57
37.8,-9.11787,5,800,TRUE,150,31.07,0.57
37.9,-9.11787,5,800,TRUE,150,31.07,0.57
38,-9.11787,5,800,TRUE,150,31.07,0.57
38.1,-9.11787,5,800,TRUE,150,31.07,0.57
38.2,-9.11787,5,800,TRUE,150,31.07,0.57
38.3,-9.11787,5,800,TRUE,150,31.07,0.57
38.4,-9.11787,5,800,TRUE,150,31.07,0.57
38.5,-9.11787,5,800,TRUE,150,31.07,0.57
38.6,-9.11787,5,800,TRUE,150,31.07,0.57
38.7,-9.11787,5,800,TRUE,150,31.07,0.57
38.8,-9.11787,5,800,TRUE,150,31.07,0.57
38.9,-9.11787,5,800,TRUE,150,31.07,0.57
39,-9.11787,5,800,TRUE,150,31.07,0.57
39.1,-9.11787,5,800,TRUE,150,31.07,0.57
39.2,-9.11787,5,800,TRUE,150,31.07,0.57
39.3,-9.11787,5,800,TRUE,150,31.07,0.57
39.4,-9.11787,5,800,TRUE,150,31.07,0.57
39.5,-9.11787,5,800,TRUE,150,31.07,0.57
39.6,-9.11787,5,800,TRUE,150,31.07,0.57
39.7,-9.11787,5,800,TRUE,150,31.07,0.57
39.8,-9.11787,5,800,TRUE,150,31.07,0.57
39.9,-9.11787,5,800,TRUE,150,31.07,0.57
40,-9.11787,5,800,TRUE,150,31.07,0.57
40.1,-9.11787,5,800,TRUE,150,31.07,0.57
40.2,-9.11787,5,800,TRUE,150,31.07,0.57
40.3,-9.11787,5,800,TRUE,150,31.07,0.57
40.4,-9.11787,5,800,TRUE,150,31.07,0.57
41.6,-9.11787,5,800,TRUE,150,31.07,0.57
41.7,-9.11787,5,800,TRUE,150,31.07,0.57
41.8,-9.11787,5,800,TRUE,150,31.07,0.57
41.9,-9.11787,5,800,TRUE,150,31.07,0.57
42,-9.11787,5,800,TRUE,150,31.07,0.57
42.1,-9.11787,5,800,TRUE,150,31.07,0.57
42.2,-9.11787,5,800,TRUE,150,31.07,0.57
36.9,-9.01787,0,800,TRUE,150,31.07,0.57
37,-9.01787,5,800,TRUE,150,31.07,0.57
37.1,-9.01787,5,800,TRUE,150,31.07,0.57
37.2,-9.01787,5,800,TRUE,150,31.07,0.57
37.3,-9.01787,5,800,TRUE,150,31.07,0.57
37.4,-9.01787,5,800,TRUE,150,31.07,0.57
37.5,-9.01787,5,800,TRUE,150,31.07,0.57
37.6,-9.01787,5,800,TRUE,150,31.07,0.57
37.7,-9.01787,5,800,TRUE,150,31.07,0.57
37.8,-9.01787,5,800,TRUE,150,31.07,0.57
37.9,-9.01787,5,800,TRUE,150,31.07,0.57
38,-9.01787,5,800,TRUE,150,31.07,0.57
38.1,-9.01787,5,800,TRUE,150,31.07,0.57
38.2,-9.01787,5,800,TRUE,150,31.07,0.57
38.3,-9.01787,5,800,TRUE,150,31.07,0.57
38.4,-9.01787,5,800,TRUE,150,31.07,0.57
38.5,-9.01787,5,800,TRUE,150,31.07,0.57
38.6,-9.01787,5,800,TRUE,150,31.07,0.57
38.7,-9.01787,5,800,TRUE,150,31.07,0.57
38.8,-9.01787,5,800,TRUE,150,31.07,0.57
38.9,-9.01787,5,800,TRUE,150,31.07,0.57
39,-9.01787,5,800,TRUE,150,31.07,0.57
39.1,-9.01787,5,800,TRUE,150,31.07,0.57
39.2,-9.01787,5,800,TRUE,150,31.07,0.57
39.3,-9.01787,5,800,TRUE,150,31.07,0.57
39.4,-9.01787,5,800,TRUE,150,31.07,0.57
39.5,-9.01787,5,800,TRUE,150,31.07,0.57
39.6,-9.01787,5,800,TRUE,150,31.07,0.57
39.7,-9.01787,5,800,TRUE,150,31.07,0.57
39.8,-9.01787,5,800,TRUE,150,31.07,0.57
39.9,-9.01787,5,800,TRUE,150,31.07,0.57
40,-9.01787,5,800,TRUE,150,31.07,0.57
40.1,-9.01787,5,800,TRUE,150,31.07,0.57
40.2,-9.01787,5,800,TRUE,150,31.07,0.57
40.3,-9.01787,5,800,TRUE,150,31.07,0.57
40.4,-9.01787,5,800,TRUE,150,31.07,0.57
40.5,-9.01787,5,800,TRUE,150,31.07,0.57
40.6,-9.01787,5,800,TRUE,150,31.07,0.57
40.7,-9.01787,5,800,TRUE,150,31.07,0.57
41.2,-9.01787,5,800,TRUE,150,31.07,0.57
41.3,-9.01787,5,800,TRUE,150,31.07,0.57
41.4,-9.01787,5,800,TRUE,150,31.07,0.57
41.5,-9.01787,5,800,TRUE,150,31.07,0.57
41.6,-9.01787,5,800,TRUE,150,31.07,0.57
41.7,-9.01787,5,800,TRUE,150,31.07,0.57
41.8,-9.01787,5,800,TRUE,150,31.07,0.57
41.9,-9.01787,5,800,TRUE,150,31.07,0.57
42,-9.01787,5,800,TRUE,150,31.07,0.57
42.1,-9.01787,5,800,TRUE,150,31.07,0.57
42.2,-9.01787,5,800,TRUE,150,31.07,0.57
36.9,-8.91787,0,800,TRUE,150,31.07,0.57
37,-8.91787,5,800,TRUE,150,31.07,0.57
37.1,-8.91787,5,800,TRUE,150,31.07,0.57
37.2,-8.91787,5,800,TRUE,150,31.07,0.57
37.3,-8.91787,5,800,TRUE,150,31.07,0.57
37.4,-8.91787,5,800,TRUE,150,31.07,0.57
37.5,-8.91787,5,800,TRUE,150,31.07,0.57
37.6,-8.91787,5,800,TRUE,150,31.07,0.57
37.7,-8.91787,5,800,TRUE,150,31.07,0.57
37.8,-8.91787,5,800,TRUE,150,31.07,0.57
37.9,-8.91787,5,800,TRUE,150,31.07,0.57
38,-8.91787,5,800,TRUE,150,31.07,0.57
38.1,-8.91787,5,800,TRUE,150,31.07,0.57
38.2,-8.91787,5,800,TRUE,150,31.07,0.57
38.3,-8.91787,5,800,TRUE,150,31.07,0.57
38.4,-8.91787,5,800,TRUE,150,31.07,0.57
38.5,-8.91787,5,800,TRUE,150,31.07,0.57
38.6,-8.91787,5,800,TRUE,150,31.07,0.57
38.7,-8.91787,5,800,TRUE,150,31.07,0.57
38.8,-8.91787,5,800,TRUE,150,31.07,0.57
38.9,-8.91787,5,800,TRUE,150,31.07,0.57
39,-8.91787,5,800,TRUE,150,31.07,0.57
39.1,-8.91787,5,800,TRUE,150,31.07,0.57
39.2,-8.91787,5,800,TRUE,150,31.07,0.57
39.3,-8.91787,5,800,TRUE,150,31.07,0.57
39.4,-8.91787,5,800,TRUE,150,31.07,0.57
39.5,-8.91787,5,800,TRUE,150,31.07,0.57
39.6,-8.91787,5,800,TRUE,150,31.07,0.57
39.7,-8.91787,5,800,TRUE,150,31.07,0.57
39.8,-8.91787,5,800,TRUE,150,31.07,0.57
39.9,-8.91787,5,800,TRUE,150,31.07,0.57
40,-8.91787,5,800,TRUE,150,31.07,0.57
40.1,-8.91787,5,800,TRUE,150,31.07,0.57
40.2,-8.91787,5,800,TRUE,150,31.07,0.57
40.3,-8.91787,5,800,TRUE,150,31.07,0.57
40.4,-8.91787,5,800,TRUE,150,31.07,0.57
40.5,-8.91787,5,800,TRUE,150,31.07,0.57
40.6,-8.91787,5,800,TRUE,150,31.07,0.57
40.7,-8.91787,5,800,TRUE,150,31.07,0.57
40.8,-8.91787,5,800,TRUE,150,31.07,0.57
40.9,-8.91787,5,800,TRUE,150,31.07,0.57
41,-8.91787,5,800,TRUE,150,31.07,0.57
41.1,-8.91787,5,800,TRUE,150,31.07,0.57
41.2,-8.91787,5,800,TRUE,150,31.07,0.57
41.3,-8.91787,5,800,TRUE,150,31.07,0.57
41.4,-8.91787,5,800,TRUE,150,31.07,0.57
41.5,-8.91787,5,800,TRUE,150,31.07,0.57
41.6,-8.91787,5,800,TRUE,150,31.07,0.57
41.7,-8.91787,5,800,TRUE,150,31.07,0.57
41.8,-8.91787,5,800,TRUE,150,31.07,0.57
41.9,-8.91787,5,800,TRUE,150,31.07,0.57
42,-8.91787,5,800,TRUE,150,31.07,0.57
42.1,-8.91787,5,800,TRUE,150,31.07,0.57
42.2,-8.91787,5,800,TRUE,150,31.07,0.57
36.9,-8.81787,0,800,TRUE,150,31.07,0.57
37,-8.81787,5,800,TRUE,150,31.07,0.57
37.1,-8.81787,5,800,TRUE,150,31.07,0.57
37.2,-8.81787,5,800,TRUE,150,31.07,0.57
37.3,-8.81787,5,800,TRUE,150,31.07,0.57
37.4,-8.81787,5,800,TRUE,150,31.07,0.57
37.5,-8.81787,5,800,TRUE,150,31.07,0.57
37.6,-8.81787,5,800,TRUE,150,31.07,0.57
37.7,-8.81787,5,800,TRUE,150,31.07,0.57
37.8,-8.81787,5,800,TRUE,150,31.07,0.57
37.9,-8.81787,5,800,TRUE,150,31.07,0.57
38,-8.81787,5,800,TRUE,150,31.07,0.57
38.1,-8.81787,5,800,TRUE,150,31.07,0.57
38.2,-8.81787,5,800,TRUE,150,31.07,0.57
38.3,-8.81787,5,800,TRUE,150,31.07,0.57
38.4,-8.81787,5,800,TRUE,150,31.07,0.57
38.5,-8.81787,5,800,TRUE,150,31.07,0.57
38.6,-8.81787,5,800,TRUE,150,31.07,0.57
38.7,-8.81787,5,800,TRUE,150,31.07,0.57
38.8,-8.81787,5,800,TRUE,150,31.07,0.57
38.9,-8.81787,5,800,TRUE,150,31.07,0.57
39,-8.81787,5,800,TRUE,150,31.07,0.57
39.1,-8.81787,5,800,TRUE,150,31.07,0.57
39.2,-8.81787,5,800,TRUE,150,31.07,0.57
39.3,-8.81787,5,800,TRUE,150,31.07,0.57
39.4,-8.81787,5,800,TRUE,150,31.07,0.57
39.5,-8.81787,5,800,TRUE,150,31.07,0.57
39.6,-8.81787,5,800,TRUE,150,31.07,0.57
39.7,-8.81787,5,800,TRUE,150,31.07,0.57
39.8,-8.81787,5,800,TRUE,150,31.07,0.57
39.9,-8.81787,5,800,TRUE,150,31.07,0.57
40,-8.81787,5,800,TRUE,150,31.07,0.57
40.1,-8.81787,5,800,TRUE,150,31.07,0.57
40.2,-8.81787,5,800,TRUE,150,31.07,0.57
40.3,-8.81787,5,800,TRUE,150,31.07,0.57
40.4,-8.81787,5,800,TRUE,150,31.07,0.57
40.5,-8.81787,5,800,TRUE,150,31.07,0.57
40.6,-8.81787,5,800,TRUE,150,31.07,0.57
40.7,-8.81787,5,800,TRUE,150,31.07,0.57
40.8,-8.81787,5,800,TRUE,150,31.07,0.57
40.9,-8.81787,5,800,TRUE,150,31.07,0.57
41,-8.81787,5,800,TRUE,150,31.07,0.57
41.1,-8.81787,5,800,TRUE,150,31.07,0.57
41.2,-8.81787,5,800,TRUE,150,31.07,0.57
41.3,-8.81787,5,800,TRUE,150,31.07,0.57
41.4,-8.81787,5,800,TRUE,150,31.07,0.57
41.5,-8.81787,5,800,TRUE,150,31.07,0.57
41.6,-8.81787,5,800,TRUE,150,31.07,0.57
41.7,-8.81787,5,800,TRUE,150,31.07,0.57
41.8,-8.81787,5,800,TRUE,150,31.07,0.57
41.9,-8.81787,5,800,TRUE,150,31.07,0.57
42,-8.81787,5,800,TRUE,150,31.07,0.57
42.1,-8.81787,5,800,TRUE,150,31.07,0.57
42.2,-8.81787,5,800,TRUE,150,31.07,0.57
36.9,-8.71787,0,800,TRUE,150,31.07,0.57
37,-8.71787,5,800,TRUE,150,31.07,0.57
37.1,-8.71787,5,800,TRUE,150,31.07,0.57
37.2,-8.71787,5,800,TRUE,150,31.07,0.57
37.3,-8.71787,5,800,TRUE,150,31.07,0.57
37.4,-8.71787,5,800,TRUE,150,31.07,0.57
37.5,-8.71787,5,800,TRUE,150,31.07,0.57
37.6,-8.71787,5,800,TRUE,150,31.07,0.57
37.7,-8.71787,5,800,TRUE,150,31.07,0.57
37.8,-8.71787,5,800,TRUE,150,31.07,0.57
37.9,-8.71787,5,800,TRUE,150,31.07,0.57
38,-8.71787,5,800,TRUE,150,31.07,0.57
38.1,-8.71787,5,800,TRUE,150,31.07,0.57
38.2,-8.71787,5,800,TRUE,150,31.07,0.57
38.3,-8.71787,5,800,TRUE,150,31.07,0.57
38.4,-8.71787,5,800,TRUE,150,31.07,0.57
38.5,-8.71787,5,800,TRUE,150,31.07,0.57
38.6,-8.71787,5,800,TRUE,150,31.07,0.57
38.7,-8.71787,5,800,TRUE,150,31.07,0.57
38.8,-8.71787,5,800,TRUE,150,31.07,0.57
38.9,-8.71787,5,800,TRUE,150,31.07,0.57
39,-8.71787,5,800,TRUE,150,31.07,0.57
39.1,-8.71787,5,800,TRUE,150,31.07,0.57
39.2,-8.71787,5,800,TRUE,150,31.07,0.57
39.3,-8.71787,5,800,TRUE,150,31.07,0.57
39.4,-8.71787,5,800,TRUE,150,31.07,0.57
39.5,-8.71787,5,800,TRUE,150,31.07,0.57
39.6,-8.71787,5,800,TRUE,150,31.07,0.57
39.7,-8.71787,5,800,TRUE,150,31.07,0.57
39.8,-8.71787,5,800,TRUE,150,31.07,0.57
39.9,-8.71787,5,800,TRUE,150,31.07,0.57
40,-8.71787,5,800,TRUE,150,31.07,0.57
40.1,-8.71787,5,800,TRUE,150,31.07,0.57
40.2,-8.71787,5,800,TRUE,150,31.07,0.57
40.3,-8.71787,5,800,TRUE,150,31.07,0.57
40.4,-8.71787,5,800,TRUE,150,31.07,0.57
40.5,-8.71787,5,800,TRUE,150,31.07,0.57
40.6,-8.71787,5,800,TRUE,150,31.07,0.57
40.7,-8.71787,5,800,TRUE,150,31.07,0.57
40.8,-8.71787,5,800,TRUE,150,31.07,0.57
40.9,-8.71787,5,800,TRUE,150,31.07,0.57
41,-8.71787,5,800,TRUE,150,31.07,0.57
41.1,-8.71787,5,800,TRUE,150,31.07,0.57
41.2,-8.71787,5,800,TRUE,150,31.07,0.57
41.3,-8.71787,5,800,TRUE,150,31.07,0.57
41.4,-8.71787,5,800,TRUE,150,31.07,0.57
41.5,-8.71787,5,800,TRUE,150,31.07,0.57
41.6,-8.71787,5,800,TRUE,150,31.07,0.57
41.7,-8.71787,5,800,TRUE,150,31.07,0.57
41.8,-8.71787,5,800,TRUE,150,31.07,0.57
41.9,-8.71787,5,800,TRUE,150,31.07,0.57
42,-8.71787,5,800,TRUE,150,31.07,0.57
42.1,-8.71787,5,800,TRUE,150,31.07,0.57
42.2,-8.71787,5,800,TRUE,150,31.07,0.57
36.9,-8.61787,0,800,TRUE,150,31.07,0.57
37,-8.61787,5,800,TRUE,150,31.07,0.57
37.1,-8.61787,5,800,TRUE,150,31.07,0.57
37.2,-8.61787,5,800,TRUE,150,31.07,0.57
37.3,-8.61787,5,800,TRUE,150,31.07,0.57
37.4,-8.61787,5,800,TRUE,150,31.07,0.57
37.5,-8.61787,5,800,TRUE,150,31.07,0.57
37.6,-8.61787,5,800,TRUE,150,31.07,0.57
37.7,-8.61787,5,800,TRUE,150,31.07,0.57
37.8,-8.61787,5,800,TRUE,150,31.07,0.57
37.9,-8.61787,5,800,TRUE,150,31.07,0.57
38,-8.61787,5,800,TRUE,150,31.07,0.57
38.1,-8.61787,5,800,TRUE,150,31.07,0.57
38.2,-8.61787,5,800,TRUE,150,31.07,0.57
38.3,-8.61787,5,800,TRUE,150,31.07,0.57
38.4,-8.61787,5,800,TRUE,150,31.07,0.57
38.5,-8.61787,5,800,TRUE,150,31.07,0.57
38.6,-8.61787,5,800,TRUE,150,31.07,0.57
38.7,-8.61787,5,800,TRUE,150,31.07,0.57
38.8,-8.61787,5,800,TRUE,150,31.07,0.57
38.9,-8.61787,5,800,TRUE,150,31.07,0.57
39,-8.61787,5,800,TRUE,150,31.07,0.57
39.1,-8.61787,5,800,TRUE,150,31.07,0.57
39.2,-8.61787,5,800,TRUE,150,31.07,0.57
39.3,-8.61787,5,800,TRUE,150,31.07,0.57
39.4,-8.61787,5,800,TRUE,150,31.07,0.57
39.5,-8.61787,5,800,TRUE,150,31.07,0.57
39.6,-8.61787,5,800,TRUE,150,31.07,0.57
39.7,-8.61787,5,800,TRUE,150,31.07,0.57
39.8,-8.61787,5,800,TRUE,150,31.07,0.57
39.9,-8.61787,5,800,TRUE,150,31.07,0.57
40,-8.61787,5,800,TRUE,150,31.07,0.57
40.1,-8.61787,5,800,TRUE,150,31.07,0.57
40.2,-8.61787,5,800,TRUE,150,31.07,0.57
40.3,-8.61787,5,800,TRUE,150,31.07,0.57
40.4,-8.61787,5,800,TRUE,150,31.07,0.57
40.5,-8.61787,5,800,TRUE,150,31.07,0.57
40.6,-8.61787,5,800,TRUE,150,31.07,0.57
40.7,-8.61787,5,800,TRUE,150,31.07,0.57
40.8,-8.61787,5,800,TRUE,150,31.07,0.57
40.9,-8.61787,5,800,TRUE,150,31.07,0.57
41,-8.61787,5,800,TRUE,150,31.07,0.57
41.1,-8.61787,5,800,TRUE,150,31.07,0.57
41.2,-8.61787,5,800,TRUE,150,31.07,0.57
41.3,-8.61787,5,800,TRUE,150,31.07,0.57
41.4,-8.61787,5,800,TRUE,150,31.07,0.57
41.5,-8.61787,5,800,TRUE,150,31.07,0.57
41.6,-8.61787,5,800,TRUE,150,31.07,0.57
41.7,-8.61787,5,800,TRUE,150,31.07,0.57
41.8,-8.61787,5,800,TRUE,150,31.07,0.57
41.9,-8.61787,5,800,TRUE,150,31.07,0.57
42,-8.61787,5,800,TRUE,150,31.07,0.57
42.1,-8.61787,5,800,TRUE,150,31.07,0.57
42.2,-8.61787,5,800,TRUE,150,31.07,0.57
36.9,-8.51787,0,800,TRUE,150,31.07,0.57
37,-8.51787,5,800,TRUE,150,31.07,0.57
37.1,-8.51787,5,800,TRUE,150,31.07,0.57
37.2,-8.51787,5,800,TRUE,150,31.07,0.57
37.3,-8.51787,5,800,TRUE,150,31.07,0.57
37.4,-8.51787,5,800,TRUE,150,31.07,0.57
37.5,-8.51787,5,800,TRUE,150,31.07,0.57
37.6,-8.51787,5,800,TRUE,150,31.07,0.57
37.7,-8.51787,5,800,TRUE,150,31.07,0.57
37.8,-8.51787,5,800,TRUE,150,31.07,0.57
37.9,-8.51787,5,800,TRUE,150,31.07,0.57
38,-8.51787,5,800,TRUE,150,31.07,0.57
38.1,-8.51787,5,800,TRUE,150,31.07,0.57
38.2,-8.51787,5,800,TRUE,150,31.07,0.57
38.3,-8.51787,5,800,TRUE,150,31.07,0.57
38.4,-8.51787,5,800,TRUE,150,31.07,0.57
38.5,-8.51787,5,800,TRUE,150,31.07,0.57
38.6,-8.51787,5,800,TRUE,150,31.07,0.57
38.7,-8.51787,5,800,TRUE,150,31.07,0.57
38.8,-8.51787,5,800,TRUE,150,31.07,0.57
38.9,-8.51787,5,800,TRUE,150,31.07,0.57
39,-8.51787,5,800,TRUE,150,31.07,0.57
39.1,-8.51787,5,800,TRUE,150,31.07,0.57
39.2,-8.51787,5,800,TRUE,150,31.07,0.57
39.3,-8.51787,5,800,TRUE,150,31.07,0.57
39.4,-8.51787,5,800,TRUE,150,31.07,0.57
39.5,-8.51787,5,800,TRUE,150,31.07,0.57
39.6,-8.51787,5,800,TRUE,150,31.07,0.57
39.7,-8.51787,5,800,TRUE,150,31.07,0.57
39.8,-8.51787,5,800,TRUE,150,31.07,0.57
